cai_max = 9.751300e-01, cai_max_time = 3.874628e-02
current time 8.067017e-01; cai_current: 1.105479e-01; cai_next: 1.105905e-01; cai_current_2dt 1.106331e-01
current time 8.067322e-01; cai_current: 1.105905e-01; cai_next: 1.106331e-01; cai_current_2dt 1.106756e-01
current time 8.067627e-01; cai_current: 1.106331e-01; cai_next: 1.106756e-01; cai_current_2dt 1.107182e-01
current time 8.067932e-01; cai_current: 1.106756e-01; cai_next: 1.107182e-01; cai_current_2dt 1.107608e-01
current time 8.068237e-01; cai_current: 1.107182e-01; cai_next: 1.107608e-01; cai_current_2dt 1.108034e-01
current time 8.068542e-01; cai_current: 1.107608e-01; cai_next: 1.108034e-01; cai_current_2dt 1.108459e-01
current time 8.068848e-01; cai_current: 1.108034e-01; cai_next: 1.108459e-01; cai_current_2dt 1.108885e-01
current time 8.069153e-01; cai_current: 1.108459e-01; cai_next: 1.108885e-01; cai_current_2dt 1.109311e-01
current time 8.069458e-01; cai_current: 1.108885e-01; cai_next: 1.109311e-01; cai_current_2dt 1.109737e-01
current time 8.069763e-01; cai_current: 1.109311e-01; cai_next: 1.109737e-01; cai_current_2dt 1.110173e-01
current time 8.070068e-01; cai_current: 1.109737e-01; cai_next: 1.110173e-01; cai_current_2dt 1.110617e-01
current time 8.070374e-01; cai_current: 1.110173e-01; cai_next: 1.110617e-01; cai_current_2dt 1.111060e-01
current time 8.070679e-01; cai_current: 1.110617e-01; cai_next: 1.111060e-01; cai_current_2dt 1.111504e-01
current time 8.070984e-01; cai_current: 1.111060e-01; cai_next: 1.111504e-01; cai_current_2dt 1.111947e-01
current time 8.071289e-01; cai_current: 1.111504e-01; cai_next: 1.111947e-01; cai_current_2dt 1.112391e-01
current time 8.071594e-01; cai_current: 1.111947e-01; cai_next: 1.112391e-01; cai_current_2dt 1.112834e-01
current time 8.071899e-01; cai_current: 1.112391e-01; cai_next: 1.112834e-01; cai_current_2dt 1.113278e-01
current time 8.072205e-01; cai_current: 1.112834e-01; cai_next: 1.113278e-01; cai_current_2dt 1.113721e-01
current time 8.072510e-01; cai_current: 1.113278e-01; cai_next: 1.113721e-01; cai_current_2dt 1.114165e-01
current time 8.072815e-01; cai_current: 1.113721e-01; cai_next: 1.114165e-01; cai_current_2dt 1.114608e-01
current time 8.073120e-01; cai_current: 1.114165e-01; cai_next: 1.114608e-01; cai_current_2dt 1.115060e-01
current time 8.073425e-01; cai_current: 1.114608e-01; cai_next: 1.115060e-01; cai_current_2dt 1.115529e-01
current time 8.073730e-01; cai_current: 1.115060e-01; cai_next: 1.115529e-01; cai_current_2dt 1.115998e-01
current time 8.074036e-01; cai_current: 1.115529e-01; cai_next: 1.115998e-01; cai_current_2dt 1.116467e-01
current time 8.074341e-01; cai_current: 1.115998e-01; cai_next: 1.116467e-01; cai_current_2dt 1.116936e-01
current time 8.074646e-01; cai_current: 1.116467e-01; cai_next: 1.116936e-01; cai_current_2dt 1.117405e-01
current time 8.074951e-01; cai_current: 1.116936e-01; cai_next: 1.117405e-01; cai_current_2dt 1.117874e-01
